mass_g,year,reclat,reclong,time_period,mass_kg,us_state
10.4,2000,35.05283,-116.76538,1991 to 2000,0.0104,california
32.22,2000,35.06725,-116.74853,1991 to 2000,0.03222,california
90.04,2001,35.05602,-116.72368,2001 to 2010,0.09004000000000001,california
10.84,2001,35.05607,-116.72365,2001 to 2010,0.01084,california
13.87,2001,35.07362,-116.76372,2001 to 2010,0.013869999999999999,california
17.02,2001,35.06847,-116.76905,2001 to 2010,0.01702,california
17.7,2001,35.05865,-116.76872,2001 to 2010,0.0177,california
76.88,2002,35.06152,-116.76295,2001 to 2010,0.07687999999999999,california
9.87,2002,35.07802,-116.76777,2001 to 2010,0.009869999999999999,california
16.66,2002,35.07,-116.77,2001 to 2010,0.01666,california
43,2002,35.05835,-116.77403,2001 to 2010,0.043,california
42.57,2002,35.06888,-116.76197,2001 to 2010,0.042570000000000004,california
36.35,2002,35.05475,-116.75432,2001 to 2010,0.03635,california
187.55,2003,35.05452,-116.73005,2001 to 2010,0.18755000000000002,california
1.47,2004,35.08838,-116.75283,2001 to 2010,0.00147,california
54.31,2003,35.05717,-116.7205,2001 to 2010,0.054310000000000004,california
22.5,2004,35.04008,-116.75553,2001 to 2010,0.0225,california
512,2004,35.03842,-116.75818,2001 to 2010,0.512,california
16.36,2004,35.08958,-116.75007,2001 to 2010,0.01636,california
81.4,2004,35.05628,-116.73377,2001 to 2010,0.0814,california
71.8,2004,35.08758,-116.74603,2001 to 2010,0.0718,california
7.5,2006,35.05902,-116.76892,2001 to 2010,0.0075,california
16.2,2006,35.05122,-116.76742,2001 to 2010,0.0162,california
47.2,2006,35.07118,-116.77162,2001 to 2010,0.047200000000000006,california
21.3,2006,35.0742,-116.7637,2001 to 2010,0.0213,california
7.2,2009,35.0751,-116.75038,2001 to 2010,0.0072,california
23.04,1998,31.91667,-111.5,1991 to 2000,0.023039999999999998,arizona
240,2005,36.99367,-114.99367,2001 to 2010,0.24,nevada
48500,1887,35.83333,-84.91667,1950 and older,48.5,tennessee
90,1852,37.23333,-80.73333,1950 and older,0.09,virginia:main
6000,1940,31.75,-97.75,1950 and older,6,texas
10.6,1985,38.90306,-112.82111,1981 to 1990,0.0106,utah
6320,1958,44.47733,-103.972,1951 to 1960,6.32,south dakota
32.5,1999,35.29575,-117.4668,1991 to 2000,0.0325,california
95,2000,35.2755,-117.47833,1991 to 2000,0.095,california
7.5,2000,35.29183,-117.47067,1991 to 2000,0.0075,california
40,2000,35.30233,-117.46017,1991 to 2000,0.04,california
35,2000,35.31232,-117.45315,1991 to 2000,0.035,california
0.5,2000,35.31227,-117.453,1991 to 2000,5e-4,california
96.7,2000,35.3114,-117.45342,1991 to 2000,0.09670000000000001,california
18.02,2000,35.28333,-117.48333,1991 to 2000,0.01802,california
19,2000,35.31833,-117.46667,1991 to 2000,0.019,california
10.5,2000,35.3112,-117.45465,1991 to 2000,0.0105,california
10.69,2000,35.2758,-117.47877,1991 to 2000,0.01069,california
0.72,2002,35.31217,-117.453,2001 to 2010,7.199999999999999e-4,california
1.6,2008,35.31218,-117.45303,2001 to 2010,0.0016,california
23.1,2008,35.28528,-117.48305,2001 to 2010,0.023100000000000002,california
8.5,2008,35.28638,-117.48305,2001 to 2010,0.0085,california
10.1,2008,35.30455,-117.45817,2001 to 2010,0.0101,california
31.72,2004,35.3,-117.4605,2001 to 2010,0.03172,california
123,1986,35.3248,-117.47983,1981 to 1990,0.123,california
19.5,2008,35.296,-117.472,2001 to 2010,0.0195,california
22.2,2008,35.296,-117.472,2001 to 2010,0.0222,california
46500,1936,29.01667,-97.28333,1950 and older,46.5,texas
5900,1913,40.23333,-100.83333,1950 and older,5.9,nebraska
10000,1911,37.61667,-98.91667,1950 and older,10,kansas
567,1932,35.96667,-96.76667,1950 and older,0.567,oklahoma
300,1957,34.08333,-115.78333,1951 to 1960,0.3,california
4400,1968,36.04333,-102.40833,1961 to 1970,4.4,texas
53000,1879,34.8,-84.98333,1950 and older,53,georgia
8991,2000,34.216667,-115.05,1991 to 2000,8.991,california
689000,1903,30.75,-104.25,1950 and older,689,texas
50600,1940,29.1,-97.6,1950 and older,50.6,texas
3770,1981,29.00833,-97.70556,1981 to 1990,3.77,texas
7682,1981,34.86,-102.12,1981 to 1990,7.682,texas
257.6,1981,34.86,-102.12,1981 to 1990,0.2576,texas
26300,1892,39.75,-84.16667,1950 and older,26.3,ohio
566,1969,39.59167,-94.92194,1961 to 1970,0.566,missouri
12700,1940,39.85,-102.95,1950 and older,12.7,colorado
11500,1846,36.5,-79.75,1950 and older,11.5,north carolina:main
3596,1965,29.36667,-100.96667,1961 to 1970,3.596,texas
8346,1972,35.28333,-93.5,1971 to 1980,8.346,arkansas
1244.7,1968,34.08333,-103.525,1961 to 1970,1.2447000000000001,new mexico
548,1968,34.09,-103.61167,1961 to 1970,0.548,new mexico
885,1977,34.05,-103.63333,1971 to 1980,0.885,new mexico
276,1969,34.05,-103.55,1961 to 1970,0.276,new mexico
784,2009,32.22548,-107.90459,2001 to 2010,0.784,new mexico
37200,1879,39.65,-99.68333,1950 and older,37.2,kansas
11300,1950,39.56583,-99.64722,1950 and older,11.3,kansas
5400,1856,33,-97,1950 and older,5.4,texas
26100,1975,33.07139,-102.80028,1971 to 1980,26.1,texas
15000,1926,33.51667,-95.3,1950 and older,15,texas
604,1944,33.51667,-95.3,1950 and older,0.604,texas
11.3,2007,32.319,-111.077,2001 to 2010,0.011300000000000001,arizona
34.7,1999,35.65917,-115.37283,1991 to 2000,0.0347,nevada
1724,1889,33.81667,-97,1950 and older,1.724,texas
246.6,2004,33.66348,-114.29207,2001 to 2010,0.24659999999999999,arizona
440,2001,40.08173,-115.93673,2001 to 2010,0.44,nevada
200000,1942,34.58333,-102.16667,1950 and older,200,texas
2800,1981,34.48333,-102.32833,1981 to 1990,2.8,texas
220,1956,39.5,-98.53333,1951 to 1960,0.22,kansas
44000,1927,41.23333,-103.48333,1950 and older,44,nebraska
7600,1955,33.92667,-103.955,1951 to 1960,7.6,new mexico
1570,1970,33.92333,-103.35,1961 to 1970,1.57,new mexico
755,1998,32.295,-109.67,1991 to 2000,0.755,arizona
1113,2002,33.97917,-101.2,2001 to 2010,1.113,texas
112,1887,38.41667,-106.58333,1950 and older,0.112,colorado
2350,1982,48.66667,-97.11667,1981 to 1990,2.35,north dakota
6760,1953,39.61667,-100.46306,1951 to 1960,6.76,kansas
529000,1944,39.5,-112.9,1950 and older,529,utah
3.5,2000,37.72683,-114.7865,1991 to 2000,0.0035,nevada
22700,1906,40.38333,-110.86667,1950 and older,22.7,utah
21800,1854,35.85,-82.7,1950 and older,21.8,north carolina:main
11300,1873,35.85,-82.7,1950 and older,11.3,north carolina:main
46050,1956,35.9,-101.9,1951 to 1960,46.05,texas
2284,1980,35.925,-101.895,1971 to 1980,2.284,texas
27420,1994,33.81667,-100.51667,1991 to 2000,27.42,texas
17800,1961,32.63333,-96.86667,1961 to 1970,17.8,texas
13000,1922,36.85,-82.45,1950 and older,13,virginia:main
48.8,2002,34.48333,-113.91667,2001 to 2010,0.048799999999999996,arizona
4100,1940,38.85,-96.58333,1950 and older,4.1,kansas
4860,1975,38.47,-102.82667,1971 to 1980,4.86,colorado
36000,1880,38.61667,-84.96667,1950 and older,36,kentucky
4000,1983,39.76667,-99.91667,1981 to 1990,4,kansas
12000,1955,34.28333,-101.83333,1951 to 1960,12,texas
14402,1981,34.28333,-101.83333,1981 to 1990,14.402,texas
10200,1942,37.03333,-85.63333,1950 and older,10.2,kentucky
27500,1893,33.5,-105.5,1950 and older,27.5,new mexico
598,1972,33.68333,-112.26667,1971 to 1980,0.598,arizona
1.5,2000,34.65433,-117.59638,1991 to 2000,0.0015,california
13,2001,34.64667,-117.58108,2001 to 2010,0.013,california
6.9,2010,34.63432,-117.56217,2001 to 2010,0.006900000000000001,california
271,2011,34.65783,-117.59892,2011 to current day,0.271,california
276,1950,31.78333,-106.23333,1950 and older,0.276,texas
40.7,1954,37,-105,1951 to 1960,0.0407,colorado
4175,1966,39.83333,-103.21667,1961 to 1970,4.175,colorado
936.8,1968,33.78333,-103.57667,1961 to 1970,0.9368,new mexico
537.8,1968,33.91667,-103.51833,1961 to 1970,0.5378,new mexico
385.5,1968,33.79,-103.56333,1961 to 1970,0.3855,new mexico
573,1936,37.01667,-101.88333,1950 and older,0.573,kansas
15700,1960,38.80778,-104.56944,1951 to 1960,15.7,colorado
4692,1948,38.78333,-99.33333,1950 and older,4.692,kansas
7000,1906,38.5,-96.2,1950 and older,7,kansas
1900,1936,33.71667,-100.83333,1950 and older,1.9,texas
10900,1971,38.28,-97.365,1971 to 1980,10.9,kansas
16700,1962,43.56333,-97.58333,1961 to 1970,16.7,south dakota
450,1854,39.71667,-77.3,1950 and older,0.45,maryland
94,1967,31.33333,-82.31667,1961 to 1970,0.094,georgia
763,1883,39.86667,-83.95,1950 and older,0.763,ohio
3300,1965,40.03167,-105.05667,1961 to 1970,3.3,colorado
5000,2002,34.61167,-115.03333,2001 to 2010,5,california
290000,1883,33.9,-101.75,1950 and older,290,texas
450000,1965,35.98333,-101.9,1961 to 1970,450,texas
2500,1970,47.95833,-96.7,1961 to 1970,2.5,minnesota
2300,1961,34.47,-101.75833,1961 to 1970,2.3,texas
502,1918,28.83333,-81.68333,1950 and older,0.502,florida
6700,1965,36.81667,-101.90833,1961 to 1970,6.7,oklahoma
445,1907,43.603,-103.026,1950 and older,0.445,south dakota
1600,1974,39.33333,-84.6,1971 to 1980,1.6,ohio
28800,1986,34.10139,-102.65,1981 to 1990,28.8,texas
105000,1952,45.33333,-102.08333,1951 to 1960,105,south dakota
4180,1995,33.84333,-103.93667,1991 to 2000,4.18,new mexico
19400,1936,36.33333,-104.05,1950 and older,19.4,new mexico
4200,1937,40.25,-100.23333,1950 and older,4.2,nebraska
100000,1966,39.61667,-94.86667,1961 to 1970,100,missouri
5400,1970,36.55,-102.78333,1961 to 1970,5.4,oklahoma
5590,1990,36.58333,-102.7,1981 to 1990,5.59,oklahoma
1700,1937,34,-101.5,1950 and older,1.7,texas
8600,2003,31.38972,-99.40583,2001 to 2010,8.6,texas
10700,1962,34.26667,-101.56667,1961 to 1970,10.7,texas
492,1978,34.29833,-101.68333,1971 to 1980,0.492,texas
27.3,1992,31.735,-110.75333,1991 to 2000,0.0273,arizona
65.4,1974,42.03839,-120.58942,1971 to 1980,0.0654,oregon
7000,1954,34.43333,-102.51667,1951 to 1960,7,texas
4100,1972,39.23,-102.99,1971 to 1980,4.1,colorado
21360,1983,44.04833,-96.59167,1981 to 1990,21.36,south dakota
1750,1940,40.68333,-102.81667,1950 and older,1.75,colorado
110800,1978,32.5225,-102.705,1971 to 1980,110.8,texas
13000,1966,34.19333,-103.575,1961 to 1970,13,new mexico
12500,1912,33.98333,-101.28333,1950 and older,12.5,texas
6266,1999,33.98333,-101.33333,1991 to 2000,6.266,texas
9500,1967,32.8,-101.11667,1961 to 1970,9.5,texas
4110,1976,32.90333,-101.16278,1971 to 1980,4.11,texas
26100,1957,33.50667,-97.65139,1951 to 1960,26.1,texas
26600,1957,33.49556,-97.58861,1951 to 1960,26.6,texas
22700,1891,36.1,-80.2,1950 and older,22.7,north carolina:main
15900,1856,44.35,-100.38333,1950 and older,15.9,south dakota
4762.8,1952,30.91667,-103.06667,1951 to 1960,4.7628,texas
1992,1975,33.1,-102.26667,1971 to 1980,1.992,texas
60,2002,33.61,-111.72,2001 to 2010,0.06,arizona
25000,1924,37,-109.05,1950 and older,25,utah
18800,1890,38.81667,-104.61667,1950 and older,18.8,colorado
100000,2002,34.71637,-114.22197,2001 to 2010,100,arizona
4700,1977,32.33333,-102.745,1971 to 1980,4.7,texas
10900,1866,38.2,-84.83333,1950 and older,10.9,kentucky
9062,1921,36.71667,-86.56667,1950 and older,9.062,kentucky
108,1888,38.5,-100,1950 and older,0.108,kansas
268,1919,46.38333,-101.23333,1950 and older,0.268,north dakota
6647,1963,38.5,-105.5,1961 to 1970,6.647,colorado
21900,1981,34.54,-102.56833,1981 to 1990,21.9,texas
1201,1950,40.01667,-82.86667,1950 and older,1.201,ohio
4650,1948,32.7,-101.6,1950 and older,4.65,texas
13700,1977,32.83333,-102.73333,1971 to 1980,13.7,texas
23900,1971,38.64167,-98.88333,1971 to 1980,23.9,kansas
392,2009,32.00415,-110.37503,2001 to 2010,0.392,arizona
4788,1938,38.26667,-95.25,1950 and older,4.788,kansas
5116,1969,33.86333,-103.34667,1961 to 1970,5.116,new mexico
8480,1983,39.61667,-98.7,1981 to 1990,8.48,kansas
687,1967,39.7,-105.7,1961 to 1970,0.687,colorado
3700,2000,33.03333,-112.61667,1991 to 2000,3.7,arizona
57300,1936,36.3,-104,1950 and older,57.3,new mexico
20400,1922,37.01667,-85.91667,1950 and older,20.4,kentucky
1990,1969,48.71667,-97.3,1961 to 1970,1.99,north dakota
11000,1934,32.25,-97.71667,1950 and older,11,texas
148000,1884,35.6,-105.8,1950 and older,148,new mexico
61000,1995,35.875,-114.23333,1991 to 2000,61,arizona
378.8,2000,35.89,-114.16667,1991 to 2000,0.3788,arizona
797.6,1999,35.87333,-114.2,1991 to 2000,0.7976,arizona
1.1,1999,35.37333,-116.90833,1991 to 2000,0.0011,california
47000,1974,33.18139,-102.40139,1971 to 1980,47,texas
3628,1923,39.35,-101.66667,1950 and older,3.628,kansas
2132.3,1999,37.435,-98.31833,1991 to 2000,2.1323000000000003,kansas
1169500,1938,41.98,-120.54167,1950 and older,1169.5,california
4230,1933,34.8,-103.31667,1950 and older,4.23,new mexico
9300,1937,34.8,-103.31667,1950 and older,9.3,new mexico
5700,1970,34.8,-103.31667,1961 to 1970,5.7,new mexico
479,1975,37.96667,-102.33333,1971 to 1980,0.479,colorado
51700,1883,42.96667,-85.76667,1950 and older,51.7,michigan:south
6400,2008,32.788333,-101.938333,2001 to 2010,6.4,texas
525000,1929,35.16667,-107.88333,1950 and older,525,new mexico
2300,1936,37.46667,-101.43333,1950 and older,2.3,kansas
4400,1964,33.11667,-101.58333,1961 to 1970,4.4,texas
28770,1983,38.395,-98.91583,1981 to 1990,28.77,kansas
48,1995,31.76167,-110.75,1991 to 2000,0.048,arizona
5000,1880,37.83333,-80.31667,1950 and older,5,west virginia
45,2004,39.49133,-112.942,2001 to 2010,0.045,utah
664,1987,30.51528,-91.01222,1981 to 1990,0.664,louisiana
82000,1912,39.93333,-99.21667,1950 and older,82,kansas
12.4,1969,34.38167,-103.39167,1961 to 1970,0.0124,new mexico
929.4,1969,34.26667,-103.38333,1961 to 1970,0.9294,new mexico
6000,1985,33.71667,-102.81667,1981 to 1990,6,texas
93,2011,35.06639,-114.0975,2011 to current day,0.093,arizona
13100,1934,36.33333,-101.4,1950 and older,13.1,texas
20.5,1950,29.5,-98,1950 and older,0.0205,texas
309000,1907,38.76667,-105.51667,1950 and older,309,colorado
1100,1822,35.56667,-79.83333,1950 and older,1.1,north carolina:main
34500,1969,33.96667,-87.91667,1961 to 1970,34.5,alabama
22700,1909,34,-111,1950 and older,22.7,arizona
6800,1982,37.28333,-113.78333,1981 to 1990,6.8,utah
610,1936,34.05,-101.75,1950 and older,0.61,texas
695,1936,34.05,-101.75,1950 and older,0.695,texas
2700,1965,31.59333,-98.25,1961 to 1970,2.7,texas
24000,1884,44.91667,-92.43333,1950 and older,24,wisconsin
1300,1976,38.91972,-85.94722,1971 to 1980,1.3,indiana
2860,1971,35.68,-101.99333,1971 to 1980,2.86,texas
2505,1972,34.59333,-101.99333,1971 to 1980,2.505,texas
884.3,1971,34.58333,-102.05,1971 to 1980,0.8843,texas
16300,1971,34.80167,-101.56667,1971 to 1980,16.3,texas
8580,1986,36.57,-101.19,1981 to 1990,8.58,oklahoma
3075,1941,45.5,-103.5,1950 and older,3.075,south dakota
13000,1972,37.06667,-98.66167,1971 to 1980,13,kansas
7800,1937,43.8,-96.16667,1950 and older,7.8,minnesota
4000,1975,46.43333,-109.83333,1971 to 1980,4,montana
13,1999,35.05102,-117.30672,1991 to 2000,0.013,california
12,1999,35.05067,-117.30095,1991 to 2000,0.012,california
95,1999,35.0425,-117.30837,1991 to 2000,0.095,california
37,1999,35.05523,-117.30257,1991 to 2000,0.037,california
24,1999,35.05063,-117.30188,1991 to 2000,0.024,california
26,1999,35.04722,-117.30752,1991 to 2000,0.026,california
166.7,2000,35.04953,-117.26357,1991 to 2000,0.1667,california
12.5,2000,35.05193,-117.26138,1991 to 2000,0.0125,california
16.4,2007,35.04102,-117.27465,2001 to 2010,0.016399999999999998,california
39.7,2007,35.0421,-117.27512,2001 to 2010,0.039700000000000006,california
118.7,2007,35.04015,-117.27283,2001 to 2010,0.1187,california
11.56,2008,35.04568,-117.26658,2001 to 2010,0.01156,california
85.5,2010,35.03333,-117.28333,2001 to 2010,0.0855,california
30000,1947,35.95,-84.56667,1950 and older,30,tennessee
13000,1938,35.95,-84.56667,1950 and older,13,tennessee
3263,1945,38.33333,-101.71167,1950 and older,3.263,kansas
46500,1933,38.65,-94.33333,1950 and older,46.5,missouri
966,2010,34.37718,-102.11672,2001 to 2010,0.966,texas
1200,1970,33.99833,-102.17667,1961 to 1970,1.2,texas
2100,1967,35.94167,-102.16,1961 to 1970,2.1,texas
490,2000,38.83333,-105.8,1991 to 2000,0.49,colorado
36000,1909,33.21333,-99.73167,1950 and older,36,texas
12880,1935,34,-105.5,1950 and older,12.88,new mexico
16000,1963,33.75,-112.66667,1961 to 1970,16,arizona
8900,1939,42.91667,-104.41667,1950 and older,8.9,wyoming
21,1941,34.48333,-94.45,1950 and older,0.021,arkansas
6100,1950,37.96417,-97.75583,1950 and older,6.1,kansas
1035,1937,37.61667,-99.1,1950 and older,1.035,kansas
2092,1976,37.59667,-99.125,1971 to 1980,2.092,kansas
367,1935,41.78333,-104.28333,1950 and older,0.367,wyoming
15500,1975,40.45667,-102.57834,1971 to 1980,15.5,colorado
270,1895,45,-114,1950 and older,0.27,idaho
4500,1941,40.51667,-101.03333,1950 and older,4.5,nebraska
21820,1965,40.16667,-97.6,1961 to 1970,21.82,nebraska
6000,1901,35.31667,-81.46667,1950 and older,6,north carolina:main
2276,1970,33.795,-102.24167,1961 to 1970,2.276,texas
12900,1951,38.11667,-97.43333,1951 to 1960,12.9,kansas
1928,1974,32.35833,-112.40889,1971 to 1980,1.928,arizona
3060,1894,40.33333,-99.03333,1950 and older,3.06,nebraska
11700,1947,39.36667,-99.85,1950 and older,11.7,kansas
2300,1933,32.73333,-103.1,1950 and older,2.3,new mexico
1600,1933,32.73333,-103.1,1950 and older,1.6,new mexico
12200,1887,34.36667,-85.43333,1950 and older,12.2,georgia
12,1950,33.75,-98.83333,1950 and older,0.012,texas
299,1937,38.06667,-102.1,1950 and older,0.299,colorado
11200,1933,40.56667,-102.3,1950 and older,11.2,colorado
6800,1955,33.68333,-93.6,1951 to 1960,6.8,arkansas
1800,1889,36.55,-79.78333,1950 and older,1.8,virginia:main
19700,1940,38.35,-101.78333,1950 and older,19.7,kansas
570,1937,37.58333,-102.76667,1950 and older,0.57,colorado
4700,1995,39.66667,-118.96667,1991 to 2000,4.7,nevada
8630,1938,33.5,-96.6,1950 and older,8.63,texas
240,2000,35.86333,-114.19333,1991 to 2000,0.24,arizona
60.9,2003,35.83833,-114.16617,2001 to 2010,0.060899999999999996,arizona
20.5,1997,35.8895,-114.192,1991 to 2000,0.0205,arizona
6452,1991,34.54,-102.59433,1991 to 2000,6.452,texas
314,1985,31.91667,-106.15,1981 to 1990,0.314,texas
150,1985,31.91667,-106.15,1981 to 1990,0.15,texas
80,1936,39.13333,-103.48333,1950 and older,0.08,colorado
350000,1927,37.2,-101.35,1950 and older,350,kansas
74600,1962,36.56,-97.66667,1961 to 1970,74.6,oklahoma
14500,1910,41.18333,-103,1950 and older,14.5,nebraska
8911,2008,44.33823,-107.67405,2001 to 2010,8.911,wyoming
7400,1968,39.695,-102.295,1961 to 1970,7.4,colorado
140000,1957,34.68333,-85.65,1951 to 1960,140,alabama
2500,1899,46.68333,-112.55,1950 and older,2.5,montana
770,2009,40.74018,-118.17285,2001 to 2010,0.77,nevada
4,1908,32.86667,-115.58333,1950 and older,0.004,california
14100,1887,36.93333,-80.5,1950 and older,14.1,virginia:main
4000,1939,40.23333,-100.41667,1950 and older,4,nebraska
226,1937,37.83333,-100.45,1950 and older,0.226,kansas
7250,1966,38.25,-97.66667,1961 to 1970,7.25,kansas
31500,1931,40.25,-110.08333,1950 and older,31.5,utah
1500,1898,31.96667,-97.86667,1950 and older,1.5,texas
1420,1889,46.07944,-88.55972,1950 and older,1.42,michigan:north
58000,1880,35.33333,-115.31667,1950 and older,58,california
450,1846,36.41667,-85.5,1950 and older,0.45,tennessee
4000,1885,46.61667,-98.5,1950 and older,4,north dakota
292,2003,32.133333,-82.983333,2001 to 2010,0.292,georgia
55400,1946,36.82444,-93.76111,1950 and older,55.4,missouri
12000,1883,37.9,-82.38333,1950 and older,12,west virginia
6800,1954,42.63333,-114.83333,1951 to 1960,6.8,idaho
29600,1894,38.76667,-100.73333,1950 and older,29.6,kansas
42600,1884,35.76667,-91.5,1950 and older,42.6,arkansas
63,2012,35.37788,-117.63728,2011 to current day,0.063,california
10400,1937,37.55,-101.68333,1950 and older,10.4,kansas
1304,1963,30.625,-97.53333,1961 to 1970,1.304,texas
30,1891,36.3,-82.46667,1950 and older,0.03,tennessee
57900,1983,39.975,-102.26667,1981 to 1990,57.9,colorado
241,1932,30.5,-99.83333,1950 and older,0.241,texas
70.7,2007,40.89055,-118.36278,2001 to 2010,0.0707,nevada
27.8,2007,40.89805,-118.35388,2001 to 2010,0.027800000000000002,nevada
29.1,2007,40.95805,-118.35305,2001 to 2010,0.0291,nevada
1368,2006,39.71633,-97.8545,2001 to 2010,1.368,kansas
1874.9,1965,34.62333,-101.91667,1961 to 1970,1.8749,texas
3500,1966,34.67167,-101.815,1961 to 1970,3.5,texas
7947,1980,34.67167,-101.815,1971 to 1980,7.947,texas
26760,1981,34.67167,-101.815,1981 to 1990,26.76,texas
8200,1961,41.48333,-96.16667,1961 to 1970,8.2,nebraska
9399,1947,44.64694,-85.13667,1950 and older,9.399,michigan:south
10000,1968,38.08333,-100.25,1961 to 1970,10,kansas
36000,1903,39.1,-94.63333,1950 and older,36,kansas
301,2004,39.27556,-96.25944,2001 to 2010,0.301,kansas
1104,1936,38.71667,-103.51667,1950 and older,1.104,colorado
23000,1893,32.58333,-96.41667,1950 and older,23,texas
10000,1934,40.68333,-99.06667,1950 and older,10,nebraska
6690,1950,37.21667,-82,1950 and older,6.69,virginia:main
44300,1937,40.46667,-103.03333,1950 and older,44.3,colorado
21000,1887,29.4,-98.5,1950 and older,21,texas
10900,1972,33.9,-103.55333,1971 to 1980,10.9,new mexico
453,1972,33.70833,-103.76667,1971 to 1980,0.453,new mexico
194000,1889,38.81667,-84.6,1950 and older,194,kentucky
142000,1939,36.71667,-102.5,1950 and older,142,oklahoma
787,2003,36.28402,-96.43701,2001 to 2010,0.787,oklahoma
153800,1918,30.41667,-99.4,1950 and older,153.8,texas
19.51,1997,35.92333,-114.10167,1991 to 2000,0.019510000000000003,arizona
8180,1950,35.83333,-97.93333,1950 and older,8.18,oklahoma
12900,1891,32.9,-107.73333,1950 and older,12.9,new mexico
17000,1952,42.16667,-121.85,1951 to 1960,17,oregon
161000,1903,36.9,-100.21667,1950 and older,161,oklahoma
490,1893,33.5,-114,1950 and older,0.49,arizona
1800,1862,40.48333,-86.36667,1950 and older,1.8,indiana
5900,1975,40.66667,-84.35,1971 to 1980,5.9,ohio
2300,1966,38.3925,-104.17667,1961 to 1970,2.3,colorado
12500,1951,34.35833,-101.73,1951 to 1960,12.5,texas
2600,1966,34.35833,-101.73,1961 to 1970,2.6,texas
5600,1978,34.33833,-101.71667,1971 to 1980,5.6,texas
57,1994,34.38333,-101.71667,1991 to 2000,0.057,texas
2386,1978,34.46667,-103.92167,1971 to 1980,2.386,new mexico
30.15,2001,40.37972,-119.08639,2001 to 2010,0.03015,nevada
7780,1965,29.975,-97.86667,1961 to 1970,7.78,texas
50800,1860,38.4,-85.36667,1950 and older,50.8,kentucky
30000,1933,34.45,-104.13333,1950 and older,30,new mexico
4798,2005,33.00383,-105.85083,2001 to 2010,4.798,new mexico
14540,1900,41.6,-86.71667,1950 and older,14.54,indiana
19800,1956,26.27167,-97.90167,1951 to 1960,19.8,texas
35100,1937,38.61667,-101.63333,1950 and older,35.1,kansas
800,1931,40.41667,-86.88333,1950 and older,0.8,indiana
21800,1963,36.38333,-98.08333,1961 to 1970,21.8,oklahoma
270000,1933,34.1,-97,1950 and older,270,oklahoma
3600,1937,35.56667,-100.66667,1950 and older,3.6,texas
1238,1970,34.53333,-101.7,1961 to 1970,1.238,texas
46500,1955,32.62972,-104.35,1951 to 1960,46.5,new mexico
16900,1981,32.88333,-101.88333,1981 to 1990,16.9,texas
38690,1940,38.07778,-96.02639,1950 and older,38.69,kansas
13000,1903,40.66667,-96.75,1950 and older,13,nebraska
69800,1930,38.9,-79.18333,1950 and older,69.8,west virginia
13780,1932,36.53333,-91.8,1950 and older,13.78,missouri
28100,1977,38.1995,-99.162,1971 to 1980,28.1,kansas
639.5,1948,42.83333,-74.5,1950 and older,0.6395,new york:main
10,2008,35.16867,-114.455,2001 to 2010,0.01,arizona
2150,1857,34.5,-82.03333,1950 and older,2.15,south carolina
515,1928,38.96667,-95.16667,1950 and older,0.515,kansas
8600,1970,34.5,-102.75,1961 to 1970,8.6,texas
498,1988,32.03333,-103.15,1981 to 1990,0.498,new mexico
11,1988,32.03333,-103.16667,1981 to 1990,0.011,new mexico
4.91,1999,32.04333,-103.15333,1991 to 2000,0.00491,new mexico
760,1940,30.6,-97.9,1950 and older,0.76,texas
6680,1984,45.93333,-102.18333,1981 to 1990,6.68,south dakota
